序号,考点词,音标,词性,中文意思,真题同义替换
1,reserve,rɪˈzɜːv,v,预订,book
2,in advance,ˌɪn ədˈvɑːns,,提前,ahead; before
3,have to,ˈhæv tə,,必须,must; should; need; require; necessary; be supposed to; demand; order
4,adjust,əˈdʒʌst,v,调整；改变,change; alter; modify; shift; revert
5,and,ənd,conj,和,and also; as well as; with; in addition
6,but,bət,conj,但是,however; yet; instead
7,because,bɪˈkɒz,conj,因为,why; as a result; therefore; cause
8,diversity,daɪˈvɜːsətɪ,n,多样性,a variety of; a number of; a range of; various; different
9,fee,fiː,n,费用，花销,money; cost; price; expense; budget; fund; financial; economic
10,establish,ɪˈstæblɪʃ,v,建造,build; create; construct; set up; install
11,transfer,trænsˈfɜː(r),v,搬，移动,move; relocate
12,habitat,ˈhæbɪtæt,n,栖息地,live; territory
13,international,ˌɪntəˈnæʃnəl,adj,国际的,countries; continents; global
14,export,ɪkˈspɔːt,v,出口,abroad; overseas
15,vegetation,ˌvedʒəˈteɪʃn,n,植被,plant; tree; forest; botanic
16,animal,ˈænɪml,n,动物,mammal; wildlife; creature; species
17,feature,ˈfiːtʃə(r),n,特点,characteristic; trait; property
18,emigrate,ˈemɪgreɪt,v,迁徙,move; go away
19,food,fuːd,n,食物,feed on; eat
20,allergic,əˈlɜːdʒɪk,adj,过敏的,can’t eat
21,fitness,ˈfɪtnəs,n,健康,health; medical; sickness; illness; gym
22,tradition,trəˈdɪʃn,n,传统,custom; convention; local culture; lifestyle
23,entertainment,ˌentəˈteɪnmənt,n,娱乐,recreation; leisure
24,press,pres,n,媒体,media; TV; newspaper; radio
25,online,ˌɒnˈlaɪn,n,网络,Internet; website
26,publicity,pʌbˈlɪsətɪ,n,宣传,website; media; news; marketing
27,picture,ˈpɪktʃə(r),n,照片,photo; photograph; camera; image
28,jewellery,ˈdʒuːəlrɪ,n,珠宝,rings; bracelets; necklaces; precious stones; gem; diamond; luxurious
29,artwork,ˈɑːtwɜːk,n,艺术品,painting; drawing; craft
30,statue,ˈstætʃuː,n,雕像,sculpture; carving
31,movie,ˈmuːvɪ,n,电影,film; documentary; cinema
32,geology,dʒɪˈɒlədʒɪ,n,地质学；地质情况,cliff; fossil; rock; landscape
33,countryside,ˈkʌntrɪsaɪd,adj,乡村的,rural area
34,urban,ˈɜːbən,adj,城市的,city; metropolitan
35,coastline,ˈkəʊstlaɪn,n,海岸线,shore; seaside
36,environment,ɪnˈvaɪrənmənt,n,周围环境,neighbourhood; surrounding
37,noisy,ˈnɔɪzɪ,adj,吵闹的,disturbing; not quiet
38,capacity,kəˈpæsətɪ,n,容量,volume; room; space; size
39,outdoor,ˈaʊtdɔː(r),adj,户外的,gardens; park; open air
40,accommodation,əˌkɒməˈdeɪʃn,n,住宿,living; dwelling; dorm
41,place,pleɪs,n,地点,where; spot; location; area
42,near,nɪə(r),adj,附近的,close; not far from; nearby
43,remote,rɪˈməʊt,adj,偏远的,isolated; distant
44,advantage,ədˈvɑːntɪdʒ,n,优点,benefit; positive; good thing; strength
45,disadvantage,ˌdɪsədˈvɑːntɪdʒ,n,缺点,drawback; shortcoming; negative; problem
46,education,ˌedʒʊˈkeɪʃn,n,教育,schools; colleges; institution
47,ordinary people,ˈɔːdnri ˈpiːpl,,公众,people; inhabitants; the public; men and women
48,student,ˈstjuːdnt,n,学生,pupil; undergraduate; postgraduate
49,purpose,ˈpɜːpəs,n,目标,aim; goal; target; key areas
50,learn,lɜːn,v,学习,acquire; get; obtain
51,structure,ˈstrʌktʃə(r),n,结构大纲,outline; framework
52,reference materials,ˈrefrəns məˈtɪəriəlz,,参考资料,books; journals; magazines
53,extensive,ɪkˈstensɪv,,广泛,comprehensive; a lot of; many
54,expertise,ˌekspɜːˈtiːz,n,能力，专长,ability; skill
55,group,gruːp,n,团队,team
56,associate,əˈsəʊʃɪeɪt,v,与……相关,relate to; connect; link
57,approach,əˈprəʊtʃ,n,方法,way; how; method
